               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     TITLE                    ACE> Magnetometer Parameters
     PROJECT                  ISTP>International Solar-Terrestrial Physics
     DISCIPLINE               Space Physics>Interplanetary Studies
     SOURCE_NAME              AC>Advanced Composition Explorer
     DATA_TYPE                H1>4-Min Level 2 Data
     DESCRIPTOR               MAG>ACE Magnetic Field Instrument
     DATA_VERSION             n
     GENERATED_BY             ACE Science Center
     GENERATION_DATE          88880131
     LINK_TEXT                Release notes and other info available at
     LINK_TITLE               the ACE Science Center Level 2 Data website
     HTTP_LINK                http://www.srl.caltech.edu/ACE/ASC/level2/index.html
     TEXT                     MAG - ACE Magnetic Field Experiment
                              References: http://www.srl.caltech.edu/ACE/
                              The quality of ACE level 2 data is such that it is suitable for serious
                              scientific study.  However, to avoid confusion and misunderstanding, it
                              is recommended that users consult with the appropriate ACE team members
                              before publishing work derived from the data. The ACE team has worked
                              hard to ensure that the level 2 data are free from errors, but the team
                              cannot accept responsibility for erroneous data, or for misunderstandings
                              about how the data may be used. This is especially true if the appropriate
                              ACE team members are not consulted before publication. At the very
                              least, preprints should be forwarded to the ACE team before publication.
     MODS                     Initial Release 9/6/01
                              12/04/02: Fixed description of Epoch time variable.
     ADID_REF                 NSSD0327
     LOGICAL_FILE_ID          AC_H1_MFI_00000000_V01
     LOGICAL_SOURCE           AC_H1_MFI
     LOGICAL_SOURCE_DESCR     H1 - ACE Magnetic Field 4-Minute Level 2 Data
     PI_NAME                  N. Ness
     PI_AFFILIATION           Bartol Research Institute
     MISSION_GROUP            ACE
                              !___Interplanetary Data near 1 AU
     INSTRUMENT_TYPE          Magnetic Fields (space)
     TIME_RESOLUTION          4 minutes
     WEB_SITE                 http://www.srl.caltech.edu/ACE/
     ACKNOWLEDGEMENT          Please acknowledge the Principal
                              Investigator, N. Ness of Bartol Research
                              Institute
     RULES_OF_USE             See the rules of use available from the ACE
                              Science Center at:
                              http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
     ALT_LOGICAL_SOURCE       ACE_MAG_Solar-Wind-Magnetic-Field-Level2-H1_4min_cdf

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Time, beginning of interval
 2. B-field magnitude
 3. Magnetic Field Vector in GSE Cartesian coordinates (4 min)

EPOCH                           <|B|>           BX_GSE           BY_GSE           BZ_GSE
                                      (@_x_component_) (@_y_component_) (@_z_component_)
dd-mm-yyyy hh:mm:ss.ms             nT               nT               nT               nT
01-01-2005 00:00:00.000       6.37000         -5.00400        -0.326000         -3.05700
01-01-2005 00:04:00.000       6.38100         -2.40600         -3.45000         -4.62200
01-01-2005 00:08:00.000       5.95900         -1.40700          4.96100          1.74800
01-01-2005 00:12:00.000       6.11300         -1.03600          5.01400          3.14900
01-01-2005 00:16:00.000       6.26000         -2.61400          4.66400          3.02900
01-01-2005 00:20:00.000       6.22300         -3.26200          4.24600          2.85600
01-01-2005 00:24:00.000       6.31400         -4.99500          3.25300          1.80900
01-01-2005 00:28:00.000       6.43800         -5.24800          2.94500          2.17300
01-01-2005 00:32:00.000       6.13500         -4.70000          1.95000          3.19900
01-01-2005 00:36:00.000       6.17600         -4.86200          1.52600          2.79400
01-01-2005 00:40:00.000       6.08300         -4.76200          2.73900         0.396000
01-01-2005 00:44:00.000       6.25100         -2.86100          5.14600          1.72100
01-01-2005 00:48:00.000       6.38100         -2.63500          5.24800          2.13700
01-01-2005 00:52:00.000       6.25200         -3.20200          3.84800          3.33000
01-01-2005 00:56:00.000       5.82000         -3.33500          2.55400         -1.97200
01-01-2005 01:00:00.000       5.96700         -3.95100          3.46700         -1.12500
01-01-2005 01:04:00.000       6.50300         -4.84300          4.11900         0.211000
01-01-2005 01:08:00.000       6.48000         -3.58900          4.42100          2.03100
01-01-2005 01:12:00.000       6.36900         -3.10300          5.06500          2.05800
01-01-2005 01:16:00.000       6.55500         -3.97500          4.92600         0.289000
01-01-2005 01:20:00.000       6.52400         -4.02200          4.46900          2.21500
01-01-2005 01:24:00.000       6.57100         -4.22300          3.98300          2.75100
01-01-2005 01:28:00.000       6.62000         -4.88200          2.89700          3.32600
01-01-2005 01:32:00.000       6.36800         -3.94700          2.91600          3.94900
01-01-2005 01:36:00.000       6.32100         -4.02500          2.38800          3.94500
01-01-2005 01:40:00.000       6.05200         -3.46800         0.826000          4.41900
01-01-2005 01:44:00.000       6.45800         -1.54600          5.62700          2.20900
01-01-2005 01:48:00.000       6.53700         -2.40500          5.45600          2.55800
01-01-2005 01:52:00.000       6.36900         -2.78100          4.15300         0.704000
01-01-2005 01:56:00.000       6.42500         -1.99200          4.48200         -3.72500
01-01-2005 02:00:00.000       6.42300         -2.44900          5.53200         -1.77200
01-01-2005 02:04:00.000       6.32700         -2.75500          5.35900         -1.66400
01-01-2005 02:08:00.000       6.31500         -3.46400          2.68900          1.25800
01-01-2005 02:12:00.000       6.38300         -3.51600          3.82100          3.48600
01-01-2005 02:16:00.000       6.42500         -1.56000          4.78100          3.86000
01-01-2005 02:20:00.000       6.47200         -3.10900          1.17600          4.21400
01-01-2005 02:24:00.000       6.41800         -2.26700         0.280000          5.47300
01-01-2005 02:28:00.000       6.29300         -1.22100         0.119000          6.03900
01-01-2005 02:32:00.000       6.08500         -4.03300          3.14300        -0.385000
01-01-2005 02:36:00.000       6.06700         -2.40500          4.89100         0.373000
01-01-2005 02:40:00.000       6.41300         -3.08700          5.32700          1.43200
01-01-2005 02:44:00.000       6.41000         -1.89400          5.69200          2.05500
01-01-2005 02:48:00.000       6.42200         -3.79200          4.41700          2.38100
01-01-2005 02:52:00.000       6.45300         -3.19200          5.11900          1.20200
01-01-2005 02:56:00.000       6.50300         -1.83100          5.96800        -0.295000
01-01-2005 03:00:00.000       6.39000         -3.29500          5.09500          1.69400
01-01-2005 03:04:00.000       6.45900         -3.15100          5.22200          1.92400
01-01-2005 03:08:00.000       6.51700         -3.41300          5.07300          2.08100
01-01-2005 03:12:00.000       6.44800         -3.30100          5.17700          1.42000
01-01-2005 03:16:00.000       6.44400         -3.12100          5.18900          1.58800
01-01-2005 03:20:00.000       6.42200         -5.09200          2.50500          1.26000
01-01-2005 03:24:00.000       6.61800         -6.41000          1.35600         0.462000
